Age,Transported
48.0,False
33.0,False
28.0,False
39.0,False
27.0,True
58.0,True
44.0,True
23.0,True
21.0,True
53.0,False
14.0,True
17.0,True
25.0,True
44.0,False
24.0,True
24.0,False
24.0,True
0.0,True
7.0,False
3.0,True
18.0,True
4.0,False
40.0,True
16.0,False
25.0,True
10.0,True
40.0,True
19.0,True
15.0,True
24.0,False
21.0,True
29.0,False
37.0,False
49.0,False
42.0,False
54.0,True
33.0,False
27.0,False
53.0,False
28.0,True
24.0,True
20.0,False
0.0,False
24.0,False
28.0,True
42.0,True
32.0,False
36.0,True
40.0,True
30.0,False
34.0,False
37.0,False
41.0,True
25.0,True
39.0,True
0.0,True
54.0,False
16.0,False
0.0,True
13.0,True
46.0,False
23.0,False
18.0,False
27.0,False
24.0,False
27.0,True
24.0,False
25.0,True
30.0,True
19.0,False
18.0,False
49.0,True
64.0,False
26.0,True
53.0,False
27.0,True
27.0,True
25.0,False
33.0,True
27.0,False
20.0,True
39.0,True
27.0,False
19.0,True
22.0,False
3.0,False
24.0,False
41.0,True
18.0,True
63.0,False
19.0,False
39.0,True
41.0,False
44.0,False
39.0,False
29.0,True
37.0,False
41.0,True
18.0,False
55.0,True
21.0,True
28.0,True
43.0,True
32.0,False
23.0,True
5.0,True
14.0,False
24.0,False
22.0,True
14.0,True
20.0,False
17.0,False
20.0,False
22.0,True
15.0,True
67.0,True
28.0,False
57.0,False
21.0,True
34.0,False
17.0,False
33.0,True
33.0,False
28.0,False
18.0,True
28.0,True
13.0,False
38.0,False
39.0,False
18.0,True
43.0,False
32.0,False
29.0,False
45.0,False
25.0,True
64.0,False
18.0,False
44.0,False
15.0,True
21.0,False
33.0,False
3.0,False
19.0,True
37.0,False
24.0,False
26.0,False
26.0,True
26.0,True
22.0,False
26.0,False
27.0,False
27.0,True
37.0,True
22.0,False
24.0,True
23.0,False
18.0,False
28.0,False
4.0,True
23.0,True
2.0,True
46.0,False
0.0,False
16.0,False
19.0,False
34.0,False
34.0,True
24.0,False
28.0,False
44.0,True
35.0,True
20.0,False
18.0,False
43.0,False
48.0,False
46.0,True
75.0,True
24.0,True
34.0,False
29.0,False
46.0,True
22.0,False
42.0,False
46.0,True
15.0,False
42.0,False
31.0,False
9.0,True
34.0,False
21.0,False
16.0,False
40.0,False
23.0,True
6.0,False
17.0,True
37.0,True
30.0,True
32.0,True
41.0,True
43.0,False
17.0,False
37.0,True
18.0,True
1.0,False
38.0,False
25.0,False
6.0,False
1.0,True
7.0,True
24.0,False
19.0,True
26.0,True
49.0,False
18.0,False
25.0,False
46.0,False
33.0,False
10.0,True
38.0,True
23.0,False
26.0,True
16.0,False
29.0,True
35.0,True
58.0,False
17.0,True
16.0,True
2.0,True
13.0,False
18.0,True
29.0,True
21.0,False
43.0,True
69.0,False
40.0,False
1.0,True
36.0,True
60.0,False
17.0,True
49.0,False
23.0,False
39.0,False
53.0,True
26.0,True
31.0,False
48.0,True
26.0,False
25.0,True
25.0,True
30.0,False
23.0,False
24.0,False
47.0,True
37.0,False
24.0,True
21.0,False
42.0,True
39.0,False
28.0,False
32.0,False
31.0,False
13.0,True
41.0,True
21.0,False
9.0,True
36.0,False
30.0,True
27.0,False
40.0,False
41.0,False
16.0,True
36.0,True
15.0,False
39.0,True
21.0,True
24.0,True
28.0,False
47.0,False
55.0,False
22.0,True
26.0,True
62.0,False
53.0,False
29.0,False
21.0,False
18.0,True
34.0,True
19.0,False
14.0,False
21.0,False
55.0,True
18.0,True
33.0,True
35.0,False
31.0,True
27.0,False
13.0,True
24.0,False
22.0,False
32.0,False
18.0,True
53.0,True
4.0,True
24.0,True
23.0,True
1.0,True
18.0,True
21.0,False
40.0,False
49.0,True
25.0,False
21.0,True
40.0,True
47.0,True
25.0,False
36.0,True
39.0,False
26.0,True
0.0,True
14.0,True
7.0,True
50.0,True
22.0,False
17.0,True
35.0,False
22.0,False
26.0,False
24.0,True
59.0,True
24.0,True
17.0,False
28.0,True
38.0,True
2.0,True
36.0,False
32.0,True
15.0,False
54.0,False
18.0,True
22.0,False
23.0,False
14.0,True
26.0,True
73.0,False
29.0,True
29.0,True
12.0,False
27.0,False
31.0,False
26.0,False
35.0,True
25.0,True
40.0,True
18.0,False
52.0,False
35.0,True
51.0,False
35.0,False
14.0,False
26.0,True
21.0,False
45.0,True
29.0,True
39.0,True
37.0,True
22.0,True
22.0,False
30.0,False
1.0,True
0.0,True
9.0,False
18.0,False
29.0,False
52.0,False
27.0,False
54.0,False
28.0,True
65.0,True
26.0,True
29.0,False
20.0,False
39.0,False
37.0,True
20.0,False
40.0,True
0.0,True
33.0,False
23.0,True
32.0,False
20.0,False
60.0,True
53.0,True
26.0,True
35.0,False
19.0,False
43.0,False
29.0,False
20.0,False
19.0,False
21.0,True
39.0,True
12.0,False
20.0,True
18.0,False
31.0,False
35.0,False
44.0,True
62.0,True
23.0,False
23.0,False
19.0,True
29.0,False
31.0,True
33.0,True
41.0,False
60.0,True
41.0,True
69.0,False
44.0,True
18.0,True
26.0,True
30.0,False
34.0,False
18.0,False
49.0,True
71.0,False
19.0,False
23.0,False
31.0,True
40.0,True
28.0,False
17.0,True
24.0,False
54.0,True
21.0,False
2.0,False
20.0,True
20.0,False
36.0,True
25.0,True
58.0,False
37.0,True
26.0,False
45.0,False
44.0,False
24.0,True
13.0,True
4.0,True
24.0,False
27.0,False
39.0,False
23.0,False
4.0,False
0.0,False
22.0,True
27.0,False
22.0,True
26.0,True
60.0,False
18.0,False
20.0,False
25.0,True
24.0,True
38.0,True
18.0,True
45.0,True
13.0,False
28.0,True
5.0,True
20.0,False
2.0,True
42.0,False
0.0,True
18.0,False
26.0,False
3.0,True
49.0,True
19.0,False
19.0,False
15.0,False
53.0,False
0.0,True
39.0,False
45.0,False
10.0,True
1.0,True
9.0,True
40.0,False
26.0,False
18.0,False
47.0,False
31.0,False
23.0,True
32.0,False
32.0,False
21.0,False
22.0,False
18.0,True
28.0,True
38.0,True
46.0,False
44.0,True
38.0,True
28.0,False
31.0,False
18.0,True
18.0,False
4.0,True
0.0,True
0.0,False
23.0,False
35.0,False
43.0,True
18.0,False
18.0,False
18.0,True
49.0,False
19.0,False
22.0,True
4.0,True
0.0,True
39.0,True
36.0,False
53.0,True
23.0,False
24.0,True
25.0,False
30.0,False
20.0,False
40.0,True
18.0,True
57.0,True
47.0,False
26.0,True
29.0,False
32.0,False
30.0,True
18.0,True
49.0,False
33.0,True
18.0,False
29.0,True
34.0,True
43.0,False
18.0,True
31.0,False
15.0,False
3.0,True
37.0,True
1.0,True
27.0,True
15.0,True
33.0,True
65.0,False
19.0,False
30.0,False
37.0,False
15.0,False
19.0,False
20.0,False
19.0,False
21.0,False
20.0,True
18.0,False
27.0,False
23.0,True
25.0,False
72.0,False
35.0,True
29.0,False
11.0,False
7.0,False
28.0,False
41.0,False
19.0,False
8.0,True
4.0,True
38.0,False
21.0,True
18.0,False
10.0,True
29.0,False
25.0,True
40.0,True
19.0,False
38.0,True
19.0,True
0.0,True
4.0,True
29.0,True
46.0,False
32.0,True
26.0,True
23.0,True
32.0,True
31.0,True
34.0,True
45.0,False
61.0,False
21.0,False
15.0,False
14.0,False
18.0,True
39.0,True
62.0,True
40.0,False
21.0,False
12.0,True
27.0,True
28.0,False
0.0,True
17.0,False
23.0,False
6.0,True
29.0,True
41.0,False
27.0,True
34.0,True
36.0,True
30.0,False
30.0,False
29.0,True
21.0,False
21.0,False
18.0,False
11.0,True
65.0,False
25.0,False
0.0,True
24.0,False
19.0,True
23.0,False
45.0,False
52.0,True
55.0,True
24.0,False
31.0,False
18.0,False
22.0,False
39.0,False
19.0,True
33.0,False
14.0,True
30.0,False
30.0,True
21.0,True
45.0,False
17.0,True
39.0,False
22.0,False
37.0,False
48.0,True
33.0,True
37.0,False
27.0,False
29.0,True
38.0,True
16.0,True
18.0,False
47.0,True
15.0,True
13.0,True
19.0,False
17.0,True
31.0,True
19.0,True
25.0,False
26.0,False
25.0,True
2.0,False
7.0,False
2.0,True
19.0,False
1.0,False
4.0,True
49.0,True
61.0,True
57.0,True
52.0,True
22.0,False
37.0,True
15.0,True
28.0,True
40.0,False
13.0,False
24.0,False
25.0,True
25.0,False
43.0,False
46.0,False
3.0,False
3.0,True
3.0,True
8.0,False
57.0,True
11.0,False
20.0,False
27.0,False
20.0,True
14.0,True
24.0,False
21.0,False
33.0,False
32.0,False
22.0,True
15.0,True
41.0,True
31.0,True
35.0,True
48.0,True
15.0,True
37.0,True
21.0,False
34.0,False
19.0,False
52.0,False
15.0,True
24.0,False
45.0,True
13.0,True
18.0,False
19.0,True
20.0,True
20.0,False
27.0,True
22.0,False
17.0,False
23.0,True
29.0,False
24.0,True
26.0,False
36.0,False
25.0,True
36.0,False
32.0,False
16.0,True
32.0,False
48.0,False
25.0,False
46.0,True
32.0,False
50.0,True
31.0,False
27.0,True
52.0,False
34.0,True
40.0,True
36.0,True
19.0,False
33.0,True
23.0,False
57.0,False
24.0,True
19.0,True
54.0,True
28.0,True
26.0,True
43.0,False
39.0,False
21.0,True
24.0,False
35.0,False
61.0,True
21.0,False
14.0,True
38.0,False
23.0,True
31.0,False
66.0,False
56.0,False
21.0,False
49.0,False
21.0,False
27.0,True
23.0,False
27.0,False
49.0,False
38.0,False
60.0,True
47.0,False
29.0,True
19.0,True
32.0,False
22.0,True
35.0,True
28.0,True
22.0,False
42.0,True
37.0,True
31.0,True
33.0,False
48.0,False
31.0,False
18.0,True
44.0,True
22.0,True
18.0,False
48.0,True
2.0,True
0.0,True
43.0,False
51.0,False
48.0,True
51.0,False
20.0,True
41.0,False
27.0,True
56.0,False
26.0,True
21.0,False
23.0,False
28.0,False
40.0,True
39.0,False
16.0,True
20.0,False
24.0,False
45.0,False
33.0,True
19.0,False
15.0,False
18.0,False
21.0,False
37.0,True
53.0,False
19.0,False
17.0,False
58.0,True
18.0,False
25.0,True
39.0,True
40.0,True
27.0,False
3.0,True
18.0,True
18.0,True
29.0,False
22.0,False
34.0,True
19.0,False
26.0,False
33.0,False
34.0,True
18.0,True
40.0,True
53.0,False
8.0,True
54.0,False
29.0,True
56.0,True
21.0,False
25.0,True
33.0,True
22.0,False
50.0,False
24.0,False
25.0,False
59.0,True
26.0,False
19.0,False
37.0,False
22.0,True
44.0,True
25.0,True
23.0,True
6.0,True
39.0,True
26.0,False
14.0,False
3.0,False
21.0,False
24.0,False
18.0,False
37.0,False
21.0,True
67.0,False
28.0,True
13.0,True
26.0,False
33.0,True
18.0,False
24.0,False
26.0,False
21.0,True
27.0,False
15.0,True
24.0,False
31.0,False
10.0,True
23.0,True
50.0,True
13.0,True
43.0,False
20.0,True
21.0,True
18.0,False
16.0,True
47.0,False
35.0,False
15.0,False
46.0,False
6.0,False
26.0,False
49.0,False
28.0,True
37.0,False
17.0,False
38.0,False
18.0,False
55.0,True
28.0,True
25.0,True
17.0,False
22.0,False
4.0,True
3.0,True
21.0,False
24.0,False
50.0,False
3.0,True
19.0,False
22.0,True
20.0,False
18.0,False
27.0,False
29.0,False
23.0,True
48.0,True
32.0,False
55.0,True
49.0,False
15.0,True
50.0,True
35.0,False
29.0,False
38.0,False
29.0,True
39.0,True
49.0,True
39.0,False
19.0,True
19.0,False
14.0,True
40.0,True
40.0,False
20.0,False
6.0,True
41.0,False
37.0,False
31.0,False
8.0,False
55.0,False
16.0,True
29.0,True
40.0,False
27.0,True
21.0,False
25.0,True
44.0,False
34.0,False
1.0,True
1.0,True
42.0,False
18.0,False
21.0,True
24.0,True
18.0,False
27.0,True
13.0,True
10.0,False
8.0,False
40.0,True
35.0,True
13.0,False
19.0,False
44.0,False
36.0,True
29.0,False
28.0,False
36.0,False
24.0,False
14.0,True
50.0,True
20.0,False
38.0,False
33.0,False
54.0,False
20.0,True
23.0,True
65.0,True
51.0,False
36.0,False
38.0,False
28.0,False
32.0,True
55.0,False
23.0,False
38.0,False
18.0,True
32.0,False
44.0,False
62.0,True
66.0,False
20.0,False
19.0,False
25.0,True
20.0,False
18.0,True
20.0,True
14.0,True
49.0,True
49.0,False
19.0,False
53.0,False
31.0,False
18.0,False
24.0,False
35.0,False
27.0,False
38.0,False
23.0,False
22.0,False
38.0,True
28.0,True
25.0,False
45.0,False
22.0,False
30.0,True
25.0,True
24.0,True
44.0,True
6.0,False
0.0,True
14.0,False
37.0,False
15.0,False
0.0,True
17.0,True
58.0,False
15.0,True
53.0,False
29.0,False
24.0,True
40.0,True
21.0,False
30.0,False
20.0,False
20.0,True
18.0,False
36.0,True
20.0,False
4.0,True
59.0,True
20.0,False
4.0,False
23.0,True
25.0,True
20.0,False
22.0,True
6.0,True
14.0,False
0.0,False
4.0,False
37.0,False
14.0,True
34.0,True
3.0,True
18.0,False
27.0,False
19.0,True
37.0,False
29.0,True
37.0,False
32.0,True
22.0,False
38.0,True
24.0,False
63.0,False
23.0,False
41.0,False
20.0,False
48.0,True
44.0,True
15.0,True
29.0,True
64.0,False
19.0,False
28.0,True
44.0,False
13.0,True
45.0,True
25.0,False
19.0,True
29.0,False
21.0,True
13.0,False
25.0,False
46.0,False
37.0,True
19.0,True
29.0,False
21.0,True
13.0,True
15.0,True
42.0,False
26.0,False
19.0,False
18.0,True
50.0,False
28.0,True
24.0,True
31.0,False
19.0,True
20.0,False
23.0,False
19.0,True
27.0,True
16.0,False
76.0,True
41.0,False
24.0,False
12.0,False
28.0,True
36.0,False
20.0,True
7.0,True
21.0,True
33.0,False
32.0,True
34.0,True
38.0,False
28.0,True
25.0,True
24.0,True
18.0,True
24.0,False
30.0,True
38.0,True
39.0,True
31.0,True
33.0,True
15.0,True
23.0,True
24.0,False
44.0,True
22.0,False
28.0,True
34.0,True
8.0,False
26.0,True
29.0,False
58.0,False
4.0,False
1.0,True
17.0,False
27.0,False
24.0,True
16.0,True
28.0,False
23.0,True
33.0,True
24.0,True
6.0,True
19.0,False
31.0,True
19.0,True
18.0,False
35.0,False
32.0,True
19.0,False
24.0,True
33.0,False
20.0,False
27.0,False
26.0,False
28.0,True
19.0,True
24.0,True
52.0,True
23.0,True
23.0,False
25.0,True
22.0,True
35.0,True
24.0,True
24.0,False
26.0,False
37.0,True
14.0,False
36.0,True
0.0,True
17.0,True
18.0,False
43.0,False
21.0,False
34.0,True
57.0,False
18.0,True
73.0,False
31.0,False
25.0,False
20.0,True
24.0,False
21.0,False
22.0,False
39.0,False
26.0,False
32.0,True
1.0,True
7.0,False
4.0,False
21.0,False
12.0,False
28.0,False
0.0,True
18.0,True
52.0,False
18.0,False
51.0,True
21.0,True
28.0,False
34.0,True
13.0,True
35.0,False
27.0,False
35.0,False
51.0,False
53.0,False
29.0,False
41.0,False
47.0,False
22.0,False
19.0,False
22.0,False
25.0,True
17.0,True
0.0,True
5.0,False
30.0,False
17.0,True
53.0,False
9.0,False
17.0,True
16.0,True
29.0,True
29.0,False
46.0,False
27.0,False
39.0,False
15.0,True
30.0,False
41.0,False
47.0,False
32.0,False
15.0,False
23.0,True
20.0,True
33.0,True
18.0,False
31.0,False
25.0,False
19.0,True
32.0,True
45.0,False
43.0,False
21.0,False
48.0,False
0.0,True
29.0,True
41.0,False
23.0,False
48.0,False
18.0,True
30.0,True
26.0,False
18.0,True
27.0,True
58.0,True
22.0,False
17.0,False
28.0,False
27.0,False
51.0,False
37.0,False
14.0,True
43.0,True
27.0,False
60.0,True
33.0,False
39.0,False
21.0,True
21.0,False
28.0,True
30.0,True
42.0,True
25.0,True
25.0,True
25.0,False
54.0,False
41.0,True
36.0,False
33.0,False
36.0,False
55.0,True
16.0,False
28.0,False
26.0,False
42.0,False
30.0,False
31.0,False
22.0,True
26.0,True
25.0,True
44.0,True
29.0,False
22.0,False
23.0,True
30.0,False
23.0,False
13.0,False
53.0,True
0.0,True
27.0,False
27.0,False
10.0,True
2.0,True
5.0,True
24.0,False
32.0,False
22.0,True
22.0,False
44.0,False
55.0,True
22.0,False
8.0,False
15.0,False
1.0,False
9.0,True
48.0,True
16.0,False
27.0,True
3.0,True
25.0,False
70.0,False
30.0,False
57.0,True
42.0,False
14.0,False
43.0,True
34.0,True
21.0,True
32.0,False
21.0,False
25.0,False
25.0,True
38.0,False
36.0,False
44.0,True
37.0,False
47.0,False
38.0,False
28.0,False
38.0,True
53.0,False
26.0,True
13.0,True
64.0,True
16.0,False
13.0,False
55.0,False
26.0,False
23.0,True
55.0,True
50.0,True
26.0,False
36.0,False
33.0,False
21.0,False
41.0,True
33.0,False
23.0,True
31.0,False
28.0,False
13.0,False
35.0,False
25.0,False
19.0,True
56.0,True
18.0,False
22.0,False
34.0,False
11.0,False
37.0,True
22.0,False
45.0,False
19.0,True
39.0,True
28.0,True
36.0,False
1.0,True
10.0,True
12.0,True
31.0,False
12.0,False
3.0,True
30.0,True
41.0,True
19.0,False
38.0,False
36.0,True
0.0,True
20.0,False
23.0,False
35.0,False
36.0,False
41.0,True
38.0,True
33.0,False
54.0,False
33.0,False
54.0,True
32.0,True
24.0,True
53.0,False
26.0,True
31.0,False
18.0,False
39.0,True
37.0,False
35.0,True
34.0,False
28.0,False
43.0,True
2.0,True
24.0,False
18.0,False
21.0,True
24.0,True
35.0,False
53.0,False
32.0,False
44.0,True
33.0,True
40.0,True
31.0,True
23.0,False
44.0,True
41.0,False
31.0,True
30.0,False
33.0,True
30.0,True
26.0,False
22.0,True
37.0,True
15.0,True
52.0,True
35.0,True
40.0,False
60.0,False
24.0,True
31.0,True
43.0,True
9.0,False
51.0,True
25.0,False
20.0,True
22.0,True
21.0,False
50.0,True
24.0,False
45.0,False
22.0,False
7.0,False
11.0,True
1.0,True
0.0,True
8.0,False
36.0,True
2.0,True
0.0,True
22.0,False
41.0,True
49.0,False
30.0,True
37.0,False
14.0,False
30.0,False
62.0,True
13.0,True
32.0,True
33.0,False
38.0,True
29.0,True
25.0,True
26.0,True
19.0,True
16.0,True
61.0,False
28.0,True
13.0,False
44.0,True
22.0,False
30.0,True
21.0,True
20.0,True
31.0,True
33.0,True
26.0,True
21.0,False
23.0,True
0.0,True
32.0,False
30.0,True
41.0,False
18.0,False
26.0,True
32.0,False
44.0,True
